Rank,Name,Company,Volume,Sides,City,State
136,Doug Leibinger,Compass,$162.13M,15.5,Aspen,CO
137,Michael Ledwitz,Engel & Völkers Boca Raton,$160.68M,104,Boca Raton,FL
138,Jennifer Zales,Coldwell Banker Realty,$157.96M,42.3,Tampa,FL
139,Cory Weiss,Douglas Elliman,$157.79M,25,Beverly Hills,CA
140,Dan Urbach,Compass,$157.75M,52,Santa Monica,CA
141,Rochelle Maize,Nourmand & Associates,$157.30M,22,Beverly Hills,CA
142,Shanna Bradley,Ansley Real Estate Christie's International,$156.40M,84.5,Atlanta,GA
143,Marie Edwards,HMS Real Estate,$155.43M,431,Indianapolis,IN
144,Matt McGraw,Cannon Cleary McGraw,$155.06M,322,Oxford,MS
145,Craig Knizek,The Agency,$154.05M,35,Sherman Oaks,CA
146,James Giugliano,Nest Seekers,$154.00M,32,Southampton,NY
147,Ann Newton Cane,Golden Gate Sotheby's International Realty,$153.49M,43.8,Lafayette,CA
148,Matthias Fretz,Douglas Elliman,$153.24M,26,Jupiter,FL
149,Latham Jenkins,Live Water Properties,$153.20M,13,Jackson,WY
150,Ellen Gonik,Coldwell Banker Realty,$152.79M,116,Livingston,NJ
151,Garrett Noel,Berkshire Hathaway HomeServices Utah Properties,$152.69M,41,Park City,UT
152,Juliette Hohnen,Douglas Elliman,$152.32M,36,Beverly Hills,CA
153,Gary Keshishyan,Pinnacle Estate Properties Inc.,$150.78M,144,Porter Ranch,CA
154,Donna Hutchins,Douglas Elliman,$149.54M,9,Jupiter,FL
155,Robyn Robinson,Compass,$149.33M,49,Dana Point,CA
156,David Dion,HomeSmart,$149.11M,300,Scottsdale,AZ
157,Chase Koplow,Carolwood Estates,$148.00M,16,Beverly Hills,CA
158,Amy McCafferty,Golden Gate Sotheby's International Realty,$147.67M,47.5,Los Gatos,CA
159,Joel Carson,Utah Real Estate,$146.14M,192,Cottonwood Heights,UT
160,Cheryl Foote,Compass,$144.48M,81,Steamboat Springs,CO
161,Amanda Brainerd,Brown Harris Stevens,$144.44M,20,New York,NY
162,Pamela D'Arc,Compass,$144.28M,46,Manhattan,NY
163,John Cregan,"Sotheby's International Realty, Inc.",$141.56M,21,Palm Beach,FL
164,Steve Mccarrick,Coldwell Banker Realty,$141.54M,35,Saratoga,CA
165,Joujou Chawla,Compass,$139.85M,53,Danville,CA
166,Mario Venancio,"Berkshire Hathaway HomeServices Fox & Roach, REALTORS®",$139.58M,66,Rumson,NJ
167,Caroline Bean,Compass,$139.41M,56,Houston,TX
168,Bernadette Meyer,Maury People Sotheby's International Realty,$138.96M,30,Nantucket,MA
169,Ryan Kramer,REMAX Associates,$138.90M,215,St. George,UT
170,Michelle Zhang,REMAX Edge,$137.37M,106,Brooklyn,NY
171,Martha Johnson,Aperture Global,$137.27M,31,Big Sky,MT
172,Wendy Lee,Douglas Elliman,$136.94M,25,New York,NY
173,Tim Wolter,HomeSmart Evergreen Realty,$136.93M,73,Irvine,CA
174,Shelly Newman,Corcoran,$136.69M,9.5,Palm Beach,FL
175,Alejandro Salazar,Douglas Elliman,$136.18M,41,Boca Raton,FL
176,Lauren Ravitz,Berkshire Hathaway HomeServices California Properties,$135.90M,38,Los Angeles,CA
177,Dee Dee Guggenheim Howes,Compass,$135.70M,47,Houston,TX
178,Santiago Arana,The Agency,$135.46M,15,Los Angeles,CA
179,Karen Sandvig,Coldwell Banker Realty,$134.32M,30.2,Westlake Village,CA
180,Jeffrey Dewing,Coldwell Banker Realty,$134.10M,46,Wayzata,MN
181,Catherine Jones Coburn,Slifer Smith & Frampton Real Estate,$134.08M,16,Vail Valley,CO
182,Sandro Dazzan,The Agency,$133.73M,14,Malibu,CA
183,Tara Coveney,Coldwell Banker Realty,$133.05M,71.8,Hingham,MA
184,Brett Harris,Bespoke Real Estate,$133.00M,3,Water Mill,NY
185,John Stephens,Keller Williams,$131.70M,49,Yorba Linda,CA
186,Blair Chang,The Agency,$131.39M,14,Beverly Hills,CA
187,Zach Trailer,Compass,$130.88M,20,Menlo Park,CA
188,Jordana Leigh,Christie's International Real Estate Southern California,$130.82M,16,Beverly Hills,CA
189,Susan Gregory,Onward Real Estate,$130.63M,65,Franklin,TN
190,Riezl Baker,Luxury Lake Oconee Real Estate Group,$129.56M,49,Greensboro,GA
191,Kyle Sakoda,Coldwell Banker Realty,$129.44M,151.7,Honolulu,HI
192,Jack Rooney,Douglas Elliman,$129.18M,10,Palm Beach,FL
193,Sam Kelly,Bespoke Real Estate,$129.13M,14,Water Mill,NY
194,Ryan Xu,Xceed Realty,$128.82M,64,Bellevue,WA
195,Charles Sullivan,"Carriage Properties, LLC.",$128.44M,32.5,Charleston,SC
196,Frank Pezzuti,Premier Sotheby's International Realty,$128.35M,17.5,Naples,FL
197,Chris Paoli,The Agency Steamboat,$127.95M,40,Steamboat Springs,CO
198,Kendall Borelli,West Shore Properties Real Estate and Management LLC,$127.55M,21,Naples,FL
199,Beth Dickerson,Gibson Sotheby's International Realty,$126.89M,25.4,Boston,MA
200,Stacie Chadwick,LIV Sotheby's International Realty,$126.18M,68.3,Castle Rock,CO
201,Ron Wynn,Compass,$126.01M,44,Santa Monica,CA
202,Steve Frankel,Coldwell Banker Realty,$125.50M,18.5,Beverly Hills,CA
203,Mark Greenwald,Saunders & Associates,$125.23M,21,Southampton,NY
204,Cyril Bijaoui,Corcoran,$125.03M,13.8,Miami Beach,FL
205,Andrew Manning,Berkshire Hathaway HomeServices California Properties,$124.68M,44,Sherman Oaks,CA
